NewDateTime,Flotation Column 01 Level,Flotation Column 04 Level,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,% Silica Concentrate,Flotation Column 01 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow
3/10/2017 1:00,450.3837759,449.9122586,55.2,3162.625026,578.7866782,398.7533678,10.11348736,1.729558161,1.31,251.1666724,295.096,306.4,251.2325287
3/10/2017 2:00,449.3733611,450.3288056,55.2,3133.256389,537.2196611,399.8718222,10.12974167,1.667784222,1.11,249.8805889,295.096,306.4,249.9094944
3/10/2017 3:00,449.9728778,451.1458222,55.2,3479.482944,591.9067444,398.7638056,10.04840333,1.732710833,1.27,250.1613278,295.096,306.4,250.2421611
3/10/2017 4:00,487.9407056,494.5281833,55.2,3228.036436,593.1701056,399.8669833,9.918614,1.731055833,1.36,250.2087722,295.096,306.4,249.8251222
3/10/2017 5:00,549.0315389,549.9754833,55.2,3327.280739,619.7108056,399.6150889,9.746029222,1.765879222,1.34,249.9178,295.096,306.4,250.2496
3/10/2017 6:00,550.5995667,549.6097,55.2,3405.162222,621.8785389,399.7493444,9.892237111,1.765064056,1.15,249.8982944,295.096,306.4,249.9424944
3/10/2017 7:00,549.5399778,550.4599722,54.95,2865.878428,618.1863667,400.3451333,10.18042556,1.765422333,2.76,250.3506667,295.096,306.4,250.0500333
3/10/2017 8:00,550.3123,549.6357722,54.95,3306.753627,595.6809833,400.1287444,10.18020278,1.766156444,2.65,249.8060944,295.096,306.4,250.2005167
3/10/2017 9:00,549.8792389,551.37,54.95,3784.487111,592.3679833,400.2784667,9.940502833,1.760050278,1.73,250.0637889,295.096,306.4,250.1678167
3/10/2017 10:00,550.1431278,548.2125583,54.95,3316.753911,582.9060944,399.7736667,10.10419728,1.761051389,1.81,250.0967667,295.096,306.4,250.1112333
3/10/2017 11:00,549.3336056,550.8432028,54.95,3687.331733,518.7408556,400.1364444,10.19915222,1.774937944,2.83,250.3756833,295.096,306.4,250.0909778
3/10/2017 12:00,551.1101833,551.1719833,54.95,4497.958333,559.8309,399.7618722,10.05322122,1.776437,2.83,250.2095333,295.096,306.4,250.06025
3/10/2017 13:00,550.5890333,551.3063111,54.95,4707.070111,543.6981778,400.4066833,10.31301278,1.773597556,1.5,250.1952111,295.096,306.4,250.0293
3/10/2017 14:00,550.8629167,553.9048,54.95,4253.600278,530.3331611,399.6413444,10.40122778,1.779951167,1.94,249.9711667,295.096,306.4,250.0626944
3/10/2017 15:00,549.6959778,551.8177444,54.95,5412.929167,517.8396278,398.9583444,10.26207556,1.782650389,1.09,249.9637389,295.096,306.4,250.0583167
3/10/2017 16:00,549.0508278,549.8356278,55.99,5306.3415,523.7905,399.3105833,10.36640389,1.780677,1.51,250.42435,295.096,306.4,250.0380611
3/10/2017 17:00,549.65595,549.1668333,55.99,5299.799889,556.6711167,399.6047556,10.36116,1.766969389,1.96,250.0015611,295.096,306.4,250.0107222
3/10/2017 18:00,550.0750833,549.6146222,55.99,5252.405011,525.4858944,400.5909444,10.27395056,1.754587944,3.57,249.7130667,295.096,306.4,249.99835
3/10/2017 19:00,550.0698278,549.6594722,55.99,4377.180878,469.4355,399.0168222,10.39875278,1.751615222,1.12,250.176,295.096,306.4,250.01895
3/10/2017 20:00,521.0884056,515.8395778,55.99,4643.644044,443.8796722,399.5701611,10.09509961,1.740864444,1.49,250.0251667,295.096,306.4,249.9089111
3/10/2017 21:00,476.2492889,416.2719667,55.99,4423.358447,431.2998556,399.2611278,10.11902778,1.693791389,1.47,250.0036222,295.096,306.4,250.0549444
3/10/2017 22:00,549.92185,446.4924306,55.99,2984.813769,431.5534667,400.4209111,9.984032556,1.728866833,1.16,249.80255,295.096,306.4,250.0226778
3/10/2017 23:00,549.6688,439.8214528,55.99,3729.535319,357.1548556,400.4882333,9.876561389,1.627458167,1.15,250.0418056,295.096,306.4,250.0545222
3/11/2017 0:00,550.29595,429.4749972,55.99,4947.613178,315.2739167,399.8175056,10.0297595,1.571221944,1.23,250.0513722,295.096,306.4,250.0460111
3/11/2017 1:00,549.7898111,362.354975,60.66,5178.826092,366.9942722,400.5145722,10.27849056,1.721786889,1.17,250.3081278,295.096,306.4,250.0424333
3/11/2017 2:00,549.3176056,504.5453361,60.66,3112.406889,357.1129278,399.8577111,10.30499611,1.752333556,2.5,249.7345056,295.096,306.4,250.0849833
3/11/2017 3:00,551.3457,458.6026806,60.66,3191.996278,331.49945,399.0191333,10.03658972,1.734095278,4.14,249.7032056,295.096,306.4,250.26025
3/11/2017 4:00,549.9285444,478.4515611,60.66,3057.643278,319.39565,400.5220444,10.16890867,1.750533278,3.34,250.1093556,295.096,306.4,249.9835722
3/11/2017 5:00,549.8177111,501.4144972,60.66,2307.970337,332.3750667,400.0710722,9.931536556,1.756989222,4.08,249.9453611,295.096,306.4,250.0050611
3/11/2017 6:00,551.0425944,481.5364139,60.66,2158.281591,335.1109056,400.6300167,9.570790278,1.651796222,5.36,250.3778722,295.096,306.4,250.4894111
3/11/2017 7:00,559.2564444,540.9032639,59.89,2630.408611,362.4641167,399.9439,9.962792,1.645403111,4.96,250.0676,295.096,306.4,249.7858833
3/11/2017 8:00,549.7070722,482.517775,59.89,2403.834428,478.2534944,400.5848611,9.978123,1.743121,4.96,250.0916556,295.096,306.4,250.0150444
3/11/2017 9:00,594.1257,536.8089389,59.89,882.2323989,532.2411889,400.3180389,9.526285889,1.696624778,2.97,249.9837889,295.096,306.4,250.1144722
3/11/2017 10:00,549.8924667,548.7799889,59.89,2218.198274,559.5588833,399.5537833,9.348196778,1.76645,2.67,250.4719833,295.096,306.4,250.246
3/11/2017 11:00,550.7043333,551.8308333,59.89,2020.627728,509.5865222,395.7701824,9.514923944,1.750855556,1.59,250.0399056,295.096,306.4,250.0704444
3/11/2017 12:00,549.23715,547.4507722,59.89,3110.821856,454.1982722,398.0709454,9.527888667,1.746872667,1.52,250.1196833,295.096,306.4,249.9182944
3/11/2017 13:00,549.8123778,547.2013,59.89,3234.397056,509.7398944,401.5034954,9.586011111,1.746791278,1.82,249.8977667,295.096,306.4,249.9939889
3/11/2017 14:00,549.6659556,555.3475444,59.89,3480.405467,394.1280667,402.7921658,9.637455222,1.760690389,2.98,250.2982444,295.096,306.4,250.2341167
3/11/2017 15:00,549.7849056,552.0793111,59.89,3340.12,476.9721,399.5793778,9.774084389,1.750481167,1.99,249.9234667,295.096,306.4,250.1935
3/11/2017 16:00,499.8700444,498.5662278,59.66,3415.4505,512.7573333,400.3732139,9.861648444,1.737625556,2.36,250.1391778,295.096,306.4,249.9894889
